0.1, -1.96, 0.75, 54, -0.7357588823291921
0.1, -1.42, 1.12, 42, -0.7357588823261113
0.1, -0.93, -1.27, 45, 0.036365994853848435
0.1, -0.27, 0.98, 37, -0.7357588823343795
0.1, 1.14, -1.56, 45, -0.7357588823302667
0.1, 1.85, 0.34, 30, 0.028831424292618285
0.3, -1.96, 1.68, 24, -0.7357588823425497
0.3, -1.42, -1.79, 28, 0.019599444574205854
0.3, -0.93, 1.23, 9, -0.735758882342227
0.3, -0.27, -0.89, 10, -0.7357588823427739
0.3, 1.14, -1.45, 11, -0.7357588823427924
0.3, 1.85, 0.98, 24, 0.05252209495564264
0.5, -1.96, 0.32, 22, -0.7357588823425858
0.5, -1.42, 1.78, 22, -0.7357588823423257
0.5, -0.93, -1.47, 26, 0.04680497162008806
0.5, -0.27, 1.56, 18, -0.7357588823425831
0.5, 1.14, -0.54, 18, -0.7357588823426181
0.5, 1.85, 0.43, 26, 0.04622920092239509
1, -1.96, 1.42, 22, -0.7357588823423901
1, -1.42, 0.56, 19, -0.7357588823426391
1, -0.93, -1.87, 25, 0.05586467795178304
1, -0.27, 1.19, 21, -0.7357588823423774
1, 1.14, -1.64, 21, -0.7357588823426312
1, 1.85, 0.87, 27, 0.05872973958371749
3, -1.96, 0.78, 11, -0.7357588823419483
3, -1.42, -1.35, 27, 0.00797545653345736
3, -0.93, 1.24, 10, -0.7357588823427278
3, -0.27, -1.87, 27, 0.015579901398599388
3, 1.14, 0.65, 35, 0.05548303659311128
3, 1.85, -1.12, 12, -0.735758882342801
7, -1.96, 0.27, 17, -0.7357588823424706
7, -1.42, 1.54, 19, -0.7357588823427865
7, -0.93, -1.71, 31, 0.053258944591026265
7, -0.27, 1.48, 17, -0.7357588823420942
7, 1.14, -0.98, 17, -0.7357588823421837
7, 1.85, 0.62, 28, 0.061398275022749416
