0.1, -7.46, 40, -75.39820515572413
0.1, -6.55, 44, -75.39821666932295
0.1, -2.33, 56, -75.3982067235241
0.1, -0.59, 59, -75.39821572112115
0.1, 5.13, 69, -75.39821413843343
0.1, 9.81, 84, -75.39820548576853
0.3, -7.46, 38, -75.39821044808183
0.3, -6.55, 36, -75.39821497840809
0.3, -2.33, 39, -75.39822040576212
0.3, -0.59, 38, -75.39821135461118
0.3, 5.13, 45, -75.39821908409516
0.3, 9.81, 45, -75.39821488671618
0.5, -7.46, 31, -75.3982126423466
0.5, -6.55, 37, -75.39822024668341
0.5, -2.33, 36, -75.39821443728479
0.5, -0.59, 37, -75.3982158042907
0.5, 5.13, 41, -75.39821650543644
0.5, 9.81, 40, -75.39821927005175
1, -7.46, 32, -75.3982126423466
1, -6.55, 38, -75.39822024668341
1, -2.33, 37, -75.3982152049921
1, -0.59, 38, -75.39821404647995
1, 5.13, 38, -75.39821819091856
1, 9.81, 39, -75.39822103208076
3, -7.46, 40, -75.39820870140183
3, -6.55, 36, -75.398215080747
3, -2.33, 36, -75.39821815618907
3, -0.59, 38, -75.39820623564908
3, 5.13, 41, -75.39820952304065
3, 9.81, 40, -75.39821902004779
7, -7.46, 40, -75.39821737578627
7, -6.55, 40, -75.39821873885235
7, -2.33, 38, -75.39821672548429
7, -0.59, 40, -75.39821958754885
7, 5.13, 38, -75.3982156664113
7, 9.81, 40, -75.39822059541743
